name,domain,phone,address,city,state,zip,clia_number,certified_at,certificate_type,site_count,test_volume,classification_codes,segments,lab_type,cms_facility_type_code,cms_facility_type_name,russian_candidate
AUBURN UNIVERSITY MEDICAL CLINIC LABORATORY,,3348446139,400 LEM MORRISON DRIVE,AUBURN,AL,36849,01D0027697,2025-05-07,Compliance,0,26425,,unspecified,OTHER,26,school_student_health,False
MEDICAL PARK FAMILY CARE,,2568259900,1034 SOUTH TALLASSEE STREET,DADEVILLE,AL,36853,01D0981717,2025-07-03,Compliance,0,4452,,unspecified,OTHER,29,other,False
"CSL PLASMA, INC",,3348195450,4049 EASTERN BLVD,MONTGOMERY,AL,36116,01D2075660,2025-02-19,Compliance,0,47969,,unspecified,OTHER,29,other,False
CSL PLASMA INC,,3345393333,1655 S COLLEGE ST  SUITE C,AUBURN,AL,36832,01D2123107,2025-10-15,Compliance,0,40230,,unspecified,OTHER,29,other,False
BIOLIFE PLASMA SERVICES L P,,2053075905,259 LAKESHORE PARKWAY SUITE E,BIRMINGHAM,AL,35209,01D2163192,2025-07-09,Compliance,0,32501,,unspecified,OTHER,29,other,False
CSL PLASMA INC,,2055988209,7509 B CRESTWOOD BOULEVARD,BIRMINGHAM,AL,35210,01D2166137,2025-11-25,Compliance,0,17903,,unspecified,OTHER,29,other,False
"CSL PLASMA, INC",,2512778915,1971 GOVERNMENT STREET,MOBILE,AL,36606,01D2177651,2025-03-06,Compliance,0,30000,,unspecified,OTHER,29,other,False
"CSL PLASMA, INC",,3345003646,"3341 S OATES STREET, SUITE 114",DOTHAN,AL,36301,01D2180581,2025-02-11,Compliance,0,30000,,unspecified,OTHER,29,other,False
"ALYESKA VASCULAR SURGERY, LLC",,9078612500,"2480 S WOODWORTH LOOP, STE 120",PALMER,AK,99645,02D2283229,2025-09-05,Compliance,0,1500,,unspecified,OTHER,02,ambulatory_surgery_center,False
AURORA BLISS HEALTH AND WELLNESS,,9074190650,"8800 GLACIER HWY, STE 104",JUNEAU,AK,99801,02D2316745,2025-01-12,Accreditation,0,0,,unspecified,OTHER,29,other,False
