name,domain,phone,address,city,state,zip,clia_number,certified_at,certificate_type,site_count,test_volume,classification_codes,segments,lab_type,cms_facility_type_code,cms_facility_type_name,russian_candidate
PINSON MEDICAL OFFICE,,2056817902,4338 MAIN ST,PINSON,AL,35126,01D0300348,2026-01-13,Compliance,0,13070,,unspecified,POL,21,physician_office,False
BIRMINGHAM HEMATOLOGY/ONCOLOGY,,2058704783,2022 BROOKWOOD MEDICAL CENTER DR  SUITE 628,BIRMINGHAM,AL,35209,01D0300872,2026-02-04,Compliance,0,39696,,unspecified,POL,21,physician_office,False
DRS DABBS & HYLAND P C,,2052214780,1513 PEDIATRIC DRIVE,JASPER,AL,35501,01D0301999,2025-06-05,Compliance,0,34637,,unspecified,POL,21,physician_office,False
"MARION REGIONAL HEALTH-WINFIELD, INC",,2054874224,644 TAHOE ROAD,WINFIELD,AL,35594,01D0302153,2025-04-22,Compliance,0,1000,,unspecified,POL,21,physician_office,False
"ONCOLOGY SPECIALTIES, PC",,2567054207,101 DR W H BLAKE JR DRIVE,MUSCLE SHOALS,AL,35661,01D0302673,2025-07-24,Compliance,0,115000,,unspecified,POL,21,physician_office,False
NORTHEAST AL PEDS,,2565464611,829 RIVERBEND DRIVE,GADSDEN,AL,35901,01D0303442,2025-11-06,Compliance,0,13200,,unspecified,POL,21,physician_office,False
GADSDEN PEDIATRIC CLINIC PA,,2565432894,501 BAY STREET,GADSDEN,AL,35901,01D0303491,2026-01-15,Compliance,0,21361,,unspecified,POL,21,physician_office,False
J MICHAEL KARST MD PA,,3342724302,4485 ATLANTA HIGHWAY,MONTGOMERY,AL,36109,01D0304240,2025-05-30,Compliance,0,14951,,unspecified,POL,21,physician_office,False
PEDIATRIC HEALTHCARE,,3342739700,4700 WOODMERE BLVD,MONTGOMERY,AL,36106,01D0304310,2025-10-29,Compliance,0,37276,,unspecified,POL,21,physician_office,False
JOSE CABALLERO MD,,2562364845,901 LEIGHTON AVE SUITE 701,ANNISTON,AL,36207,01D0304564,2025-11-13,Compliance,0,8334,,unspecified,POL,21,physician_office,False
OXFORD FAMILY PRACTICE,,2568317100,6 ALLEN PKWY,OXFORD,AL,36203,01D0304589,2025-11-21,Compliance,0,52751,,unspecified,POL,21,physician_office,False
AFFILIATED DERMATOLOGY,,3347939564,"4300 WEST MAIN ST, SUITE 102",DOTHAN,AL,36305,01D0304727,2026-01-08,Compliance,0,1056,,unspecified,POL,21,physician_office,False
SOUTHEASTERN PEDIATRIC ASSOCIATES PA,,3347943352,364 HONEYSUCKLE ROAD,DOTHAN,AL,36305,01D0304806,2025-02-12,Compliance,0,28582,,unspecified,POL,21,physician_office,False
IMC DIAGNOSTIC & MEDICAL,,2516754733,95 SHELL ST,SARALAND,AL,36571,01D0305396,2025-05-01,Compliance,0,22464,,unspecified,POL,21,physician_office,False
FAMILY MEDICAL SEMMES,,2516496112,7505 MOFFET RD,MOBILE,AL,36618,01D0305406,2025-11-18,Accreditation,0,0,,unspecified,POL,21,physician_office,False
IMC DIAGNOSTIC AND MEDICAL CLINIC,,2514351283,1700 SPRINGHILL AVE   SUITE 100,MOBILE,AL,36604,01D0305481,2026-02-12,Compliance,0,1485652,,unspecified,POL,21,physician_office,False
ALABAMA MEDICAL GROUP,,2514145900,101 MEMORIAL HOSPITAL DR  SUITE 200,MOBILE,AL,36608,01D0305573,2025-02-04,Compliance,0,816130,,unspecified,POL,21,physician_office,False
MOBILE BAY OB/GYN,,2514357900,"3 MOBILE INFIRMARY CIRCLE, SUITE 201",MOBILE,AL,36607,01D0305645,2025-01-15,Compliance,0,6536,,unspecified,POL,21,physician_office,False
"PREMIER MEDICAL GROUP, INC",,2513413310,3701 DAUPHIN STREET  ALLERGY DEPT  2ND FLOOR,MOBILE,AL,36608,01D0305789,2025-11-04,Compliance,0,133516,,unspecified,POL,21,physician_office,False
UROLOGY ASSOCIATES OF MOBILE,,2514331895,"6701 AIRPORT BLVD, SUITE B135",MOBILE,AL,36608,01D0305839,2026-01-21,Compliance,0,2252,,unspecified,POL,21,physician_office,False
SELMA PEDIATRICS PC,,3348729410,1225 MEDICAL CENTER PARKWAY,SELMA,AL,36701,01D0306156,2025-09-23,Compliance,0,19658,,unspecified,POL,21,physician_office,False
PEDIATRIC CLINIC,,3347498121,2401 VILLAGE PROFESSIONAL DRIVE,OPELIKA,AL,36801,01D0306300,2025-09-10,Compliance,0,2772,,unspecified,POL,21,physician_office,False
PEDIATRIC ASSOCIATES OF AUBURN,,3342031766,2901 CORPORATE PARK DRIVE,OPELIKA,AL,36801,01D0306320,2025-09-09,Compliance,0,5262,,unspecified,POL,21,physician_office,False
