name,domain,phone,address,city,state,zip,clia_number,certified_at,certificate_type,site_count,test_volume,classification_codes,segments,lab_type,cms_facility_type_code,cms_facility_type_name,russian_candidate
UNIVERSITY MEDICAL CENTER,,2053486899,850 PETER BRYCE BLVD,TUSCALOOSA,AL,35401,01D0301738,2025-05-08,Compliance,0,396101,,unspecified,PSC,06,community_clinic,False
WHIT FAMILY CLINIC FITZ-GERALD,,3342872644,203 HIGHWAY 80 WEST,DEMOPOLIS,AL,36732,01D0306179,2025-04-24,Compliance,0,10422,,unspecified,PSC,25,rural_health_clinic,False
HACKLEBURG MEDICAL CLINIC,,2059353744,34867 HWY 43,HACKLEBURG,AL,35564,01D0688168,2025-04-16,Compliance,0,4500,,unspecified,PSC,25,rural_health_clinic,False
SOUTHWEST ALABAMA HEALTH SERVICES,,2519442842,7777 HIGHWAY 43 NORTH,MCINTOSH,AL,36553,01D0692409,2026-01-20,Compliance,0,5460,,unspecified,PSC,09,fqhc,False
ARMS METRO HEALTH CENTER,,2052125600,712 25TH STREET NORTH,BIRMINGHAM,AL,35203,01D0858174,2025-07-30,Compliance,2,500,,unspecified,PSC,09,fqhc,False
ATMORE URGENT CARE,,2513686245,5850 HWY 21,ATMORE,AL,36502,01D2022549,2025-04-30,Compliance,0,1500,,unspecified,PSC,25,rural_health_clinic,False
KIDS CLINIC,,2052687775,119 STEPHEN J WHITE MEMORIAL BLVD,TALLADEGA,AL,35160,01D2148957,2025-05-23,Compliance,0,27120,,unspecified,PSC,25,rural_health_clinic,False
ACCORDIA HEALTH - ROCKFORD,,2514505901,9518 HIGHWAY 231,ROCKFORD,AL,35136,01D2177055,2025-02-28,Compliance,0,500,,unspecified,PSC,09,fqhc,False
CHRIST HEALTH PEDIATRICS,,2059460725,628 JOSEPH HOLLIS DR SUITE 300,BIRMINGHAM,AL,35212,01D2325483,2025-06-13,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
CHRIST HEALTH CENTER FOR SERVANT LEADERSHIP,,2053809455,5721 1ST AVE N,BIRMINGHAM,AL,35212,01D2326484,2025-07-03,Accreditation,0,0,,unspecified,PSC,09,fqhc,False
ANCHORAGE NEIGHBORHOOD HEALTH CENTER,,9077437200,4951 BUSINESS PARK BLVD,ANCHORAGE,AK,99503,02D0640332,2025-08-14,Compliance,0,413854,,unspecified,PSC,09,fqhc,False
NTC ANCHOR POINT,,9075673970,33930 STERLING HIGHWAY,ANCHOR POINT,AK,99556,02D2333257,2025-11-01,Accreditation,0,0,,unspecified,PSC,06,community_clinic,False
NTC HOMER,,9072062730,4047 BARTLETT STREET,HOMER,AK,99603,02D2333258,2025-11-01,Accreditation,0,0,,unspecified,PSC,06,community_clinic,False
PHOENIX SPECIALTY HOSPITAL,,4804273000,433 E 6TH ST,MESA,AZ,85203,03D1022984,2025-04-15,Compliance,0,1500,,unspecified,PSC,03,ancillary_test_site,False
HONORHEALTH CANCER CARE,,6232387570,"20745 N SCOTTSDALE RD, STE 115",SCOTTSDALE,AZ,85255,03D2026177,2025-05-21,Compliance,0,1440,,unspecified,PSC,03,ancillary_test_site,False
CIRCLE THE CITY DOWNTOWN FAMILY HEALTH,,6027760776,220 S 12TH AVE,PHOENIX,AZ,85007,03D2144050,2025-06-11,Compliance,0,6500,,unspecified,PSC,09,fqhc,False
HONORHEALTH CANCER CARE,,6232387700,19646 N 27TH AVE STE 301,PHOENIX,AZ,85027,03D2145146,2025-04-22,Compliance,0,84000,,unspecified,PSC,03,ancillary_test_site,False
HONORHEALTH CANCER CARE,,6232387750,9250 N 3RD ST STE 3010,PHOENIX,AZ,85020,03D2145185,2025-04-22,Compliance,0,84000,,unspecified,PSC,03,ancillary_test_site,False
HONORHEALTH CANCER CARE,,6232387540,1110 S DOBSON RD STE 1,CHANDLER,AZ,85286,03D2161792,2025-02-11,Compliance,0,90000,,unspecified,PSC,03,ancillary_test_site,False
HONORHEALTH CANCER CARE,,6232387370,3645 S ROME ST STE 209,GILBERT,AZ,85297,03D2162884,2025-03-13,Compliance,0,30000,,unspecified,PSC,03,ancillary_test_site,False
HONORHEALTH COMPLETE CARE EMERGENCY,,4805877872,5316 E SHEA BLVD STE 150,SCOTTSDALE,AZ,85254,03D2284901,2025-05-13,Compliance,0,234664,,unspecified,PSC,03,ancillary_test_site,False
"CABUN RURAL HEALTH SERVICES, LLC",,8707984299,402 SOUTH LEE STREET,HAMPTON,AR,71744,04D0465611,2026-03-03,Compliance,0,438,,unspecified,PSC,09,fqhc,False
STRONG CLINIC,,8707977620,253 SOUTH CONCORD,STRONG,AR,71765,04D0465612,2025-05-21,Compliance,0,3612,,unspecified,PSC,09,fqhc,False
MELBOURNE MEDICAL CLINIC,,8703684344,1526 EAST MAIN STREET,MELBOURNE,AR,72556,04D0468315,2026-01-21,Compliance,0,1830,,unspecified,PSC,25,rural_health_clinic,False
MCGEHEE FAMILY CLINIC,,8706904230,1507 SOUTH 1ST STREET,MCGEHEE,AR,71654,04D0872195,2025-10-22,Compliance,0,40191,,unspecified,PSC,25,rural_health_clinic,False
BOSTON MOUNTAIN RURAL HEALTH CENTER,,8704485733,2263 HWY 65 NORTH,MARSHALL,AR,72650,04D0887822,2025-08-21,Compliance,2,2473,,unspecified,PSC,09,fqhc,False
HOPE FAMILY PRACTICE CENTER,,8707778420,820 S MAIN ST,HOPE,AR,71801,04D0906640,2026-03-04,Compliance,0,5460,,unspecified,PSC,09,fqhc,False
WRMC MEDICAL COMPLEX LABORATORY,,8702576045,"195 HOSPITAL DRIVE, SUITE E",CHEROKEE VILLAGE,AR,72525,04D1048934,2025-02-06,Compliance,0,198430,,unspecified,PSC,06,community_clinic,False
WHITE RIVER HEALTH FAMILY CARE,,8705122500,2200 MALCOLM AVENUE SUITE B,NEWPORT,AR,72112,04D1060221,2025-11-12,Compliance,0,57021,,unspecified,PSC,25,rural_health_clinic,False
UNITY HEALTH LAB OF PATH,,5013802404,1200 SOUTH MAIN ST,SEARCY,AR,72143,04D2122809,2025-10-09,Compliance,0,15077,,unspecified,PSC,03,ancillary_test_site,False
"HEALTHY CONNECTIONS, INC - HOT SPRINGS CENTRAL",,8887108220,"3604 CENTRAL AVENUE, SUITE D",HOT SPRINGS,AR,71913,04D2143229,2026-01-06,Compliance,0,15706,,unspecified,PSC,09,fqhc,False
SAGER CREEK PEDIATRICS CLINIC,,4795494228,"1101-2 NORTH PROGRESS AVE, FIRST FLOOR",SILOAM SPRINGS,AR,72761,04D2299349,2026-03-25,Compliance,0,2654,,unspecified,PSC,09,fqhc,False
GENTRY MEDICAL CENTER,,4797362213,643 E THIRD STREET,GENTRY,AR,72734,04D2300377,2025-01-23,Compliance,0,11500,,unspecified,PSC,09,fqhc,False
