src,name,city,state,zip,clia,domain,exa_top_url
RU,REGIONAL CANCER CARE ASSOCIATES,MONTCLAIR,NJ,07042,31D0104198,regionalcancercare.org,https://www.regionalcancercare.org/locations/montclair-nj/
RU,SUMMIT MEDICAL GROUP PA,FLORHAM PARK,NJ,07932,31D0721437,summitmedicalgroup.com,https://www.summitmedicalgroup.com/location/150-park-ave-florham-park/
RU,PILGRIM MEDICAL CENTER,MONTCLAIR,NJ,07042,31D0105229,pilgrimmed.com,https://www.pilgrimmed.com/
RU,REGIONAL CANCER CARE ASSOCIATES,FREEHOLD,NJ,07728,31D0677457,regionalcancercare.org,https://www.regionalcancercare.org/locations/freehold/
RU,REGIONAL CANCER CARE ASSOCIATES,WESTWOOD,NJ,07675,31D0110609,regionalcancercare.org,https://www.regionalcancercare.org/locations/westwood/
RU,"DIOSDADO NON MEDICAL SERVICES, LLC",BRICK,NJ,08723,31D0122897,ocmedlab.com,https://ocmedlab.com/
RU,REPRODUCTIVE MEDICINE ASSOCIATES,MORRISTOWN,NJ,07960,31D0919498,rmanetwork.com,https://rmanetwork.com/our-locations/rma-new-jersey/morristown-nj/
RU,REGIONAL CANCER CARE ASSOCIATES,ROSELLE,NJ,07203,31D0680189,regionalcancercare.org,https://www.regionalcancercare.org/locations/roselle-nj/
RU,REGIONAL CANCER CARE ASSOCIATES,HOWELL,NJ,07731,31D0114368,regionalcancercare.org,https://www.regionalcancercare.org/locations/howell/
RU,DERMATOLOGY ASSOCIATES OF MORRIS PA,PARSIPPANY,NJ,07054,31D0698344,dermatologyassociatesofmorris.com,https://dermatologyassociatesofmorris.com/
RU,CARE STATION MEDICAL GROUP,LINDEN,NJ,07036,31D0876565,carestationmedical.com,https://carestationmedical.com/
RU,REGIONAL CANCER CARE ASSOCIATES,BELLEVILLE,NJ,07109,31D0108387,regionalcancercare.org,https://www.regionalcancercare.org/locations/belleville-nj/
RU,ADVANCED UROLOGY ASSOCIATES ENTERPRISES,MANASQUAN,NJ,08736,31D0714191,advuro.com,https://advuro.com/
RU,CLIFFSIDE MEDICAL EMERGIMED LABORATORY,CLIFFSIDE PARK,NJ,07010,31D0677093,emergimed.com,https://emergimed.com/
RU,BARNABAS HEALTH MEDICAL GROUP,OCEAN,NJ,07712,31D0925953,barnabashealthmedicalgroup.org,https://www.barnabashealthmedicalgroup.org/
RU,ARTHRITIS AND RHEUMATOLOGY ASSOCIATES,VINELAND,NJ,08360,31D0912834,drsoloway.com,https://drsoloway.com/
RU,GASTROENTEROLOGY ASSOCIATES,EAST HANOVER,NJ,07936,31D0941780,ganjllc.com,https://www.ganjllc.com/
RU,PRINCETON LONGEVITY MEDICAL GROUP,PRINCETON,NJ,08540,31D1041308,theplc.net,http://theplc.net/
RU,ATLANTIC DERMATOLOGY ASSOCIATES LLC,WOODLAND PARK,NJ,07424,31D1006183,atlanticdermatologyassociates.com,https://www.atlanticdermatologyassociates.com/atlantic-dermatology
RU,"SHAMRA MEDICAL LABORATORY, LLC",MIDDLETOWN,NJ,07748,31D1055495,npino.org,https://www.npino.org/npi/shamra-medical-laboratory-limited-liability-company-1063789170.html
RU,ATLANTICARE REGIONAL MEDICAL CENTER -,HAMMONTON,NJ,08037,31D1100091,atlanticare.org,https://www.atlanticare.org/home
RU,"ATLANTIC ONCOLOGY ASSOCIATES, LLC",GALLOWAY TOWNSHIP,NJ,08205,31D0972314,atlantichemonc.com,https://atlantichemonc.com/
RU,SUMMIT MEDICAL GROUP,CLIFTON,NJ,07013,31D0957525,stage.summitmedicalgroup.com,https://www.yelp.com/biz/summit-medical-group-clifton
RU,GASTROENTEROLOGY ASSOCIATES,DENVILLE,NJ,07834,31D1105568,gastronj.com,https://www.gastronj.com/
RU,ADVANCED DERMATOLOGY ASSOCIATES,SPARTA,NJ,07871,31D1064777,spartaderm.com,https://spartaderm.com/
RU,MARGARET RAVITS & ASSOCIATES,HACKENSACK,NJ,07601,31D1058391,ravitsdermatology.com,https://www.ravitsdermatology.com/
RU,SUN WELLNESS LLC,HAMILTON,NJ,08690,31D2011573,sunwellness.info,https://www.sunwellness.info/
RU,REPRODUCTIVE MEDICINE ASSOCIATES,BASKING RIDGE,NJ,07920,31D2046030,rmanetwork.com,https://rmanetwork.com/our-locations/rma-new-jersey/basking-ridge-nj/
RU,REPRODUCTIVE MEDICINE ASSOCIATES,FREEHOLD,NJ,07728,31D2114553,rmanetwork.com,https://rmanetwork.com/our-locations/rma-new-jersey/freehold-nj/
RU,PRINCETON MEDICAL GROUP PLAINSBORO,PLAINSBORO,NJ,08536,31D2046543,princetonmedicalgroup.com,https://www.princetonmedicalgroup.com/
RU,SLEEP AND WELLNESS MEDICAL ASSOCIATES,LAWRENCEVILLE,NJ,08648,31D2037055,sleep-wellness.org,https://sleep-wellness.org/
RU,SYNERGY MEDICAL LABS,KEYPORT,NJ,07735,31D2053614,synergymedlabs.com,https://synergymedlabs.com/
RU,REGIONAL CANCER CARE ASSOCIATES - SPARTA,SPARTA,NJ,07871,31D1018141,regionalcancercare.org,https://www.regionalcancercare.org/locations/sparta/
RU,REGIONAL CANCER CARE ASSOCIATES,CAPE MAY COURT HOUSE,NJ,08210,31D2059087,regionalcancercare.org,https://www.regionalcancercare.org/locations/cape-may-courthouse/
RU,RIDGEWOOD DIAGNOSTIC LABORATORY,HACKENSACK,NJ,07601,31D2109691,ridgewoodlab.com,https://ridgewoodlab.com/
RU,BIOGENICA LABORATORIES LLC,ELMWOOD PARK,NJ,07407,31D2063148,biogenicalabs.com,https://biogenicalabs.com/
RU,ESSEX GASTROENTEROLOGY ASSOCIATES,NEWARK,NJ,07105,31D2118958,hudsonmdgroup.com,https://doctor.webmd.com/practice/essex-gastro-associates-pa-a873ab2c-3ed8-4ac1-bec4-ad6e7838d178
RU,"DERMATOLOGY ASSOCIATES OF SOUTH JERSEY, LLC",MOUNT LAUREL,NJ,08054,31D2027817,dermatologysouthjersey.com,https://dermatologysouthjersey.com/
RU,REPRODUCTIVE MEDICINE ASSOCIATES,MARLTON,NJ,08053,31D2120264,rmanetwork.com,https://rmanetwork.com/clinics/marlton/
RU,"APOLLO CLINICAL LABORATORIES, INC",UNION,NJ,07083,31D2114374,qlslabs.com,https://www.qlslabs.com/
RU,ATLANTIC MEDICAL ONCOLOGY,SPARTA,NJ,07871,31D2093926,atlantichealth.org,https://www.atlantichealth.org/locations/sparta-health-wellness/medical-oncology-physician-practice
RU,"VANGUARD MEDICAL, PA",DENVILLE,NJ,07834,31D2155829,vanguardmedgroup.com,https://vanguardmedgroup.com/contact/denville-office/
RU,REPRODUCTIVE MEDICINE ASSOCIATES,SPRINGFIELD,NJ,07081,31D2122628,rmanetwork.com,https://rmanetwork.com/our-locations/rma-new-jersey/springfield-nj/
RU,ETHEL DIAGNOSTIC LABORATORY,EDISON,NJ,08817,31D2140887,ehealthscores.com,https://npidb.org/organizations/allopathic_osteopathic_physicians/anatomic-pathology_207zp0101x/1437704905.aspx
RU,P AND S MEDICAL GROUP LLC,BRIDGEWATER,NJ,08807,31D2281954,psmedgroup.com,https://psmedgroup.com/
RU,ATLANTIC MEDICAL GROUP - DBA ACOHA-NJ,WEST ORANGE,NJ,07052,31D2133984,atlantichealth.org,https://www.atlantichealth.org/locations/741-northfield-avenue-west-orange/hematology-oncology-physician-practice
RU,PREMIER LABORATORIES,WOOD-RIDGE,NJ,07075,31D2197504,whereorg.com,https://www.mapquest.com/us/new-jersey/premier-laboratories-llc-776715258
RU,AMEDIX DIAGNOSTIC,LITTLE FALLS,NJ,07424,31D2263712,amedixlaboratory.com,https://amedixlaboratory.com/
RU,MANHATTAN INTERNAL MEDICINE ASSOCIATES PC,NEW YORK,NY,10016,33D0130701,manhattanmedicine.net,https://www.manhattanmedicine.net/
RU,"JOURNEY TO WELLNESS, INC",PERTH AMBOY,NJ,08861,31D2303983,treatmentnj.net,https://treatmentnj.net/
RU,"ORBUCH BRAND DERMATOLOGY ASSOCIATES, LLP",BETHPAGE,NY,11714,33D0156337,npino.org,https://www.npino.org/npi/orbuch-brand-dermatology-associates-llp-1992785117.html
RU,ATLANTIC DERMATOLOGIC ASSOCIATES LLP,BROOKLYN,NY,11234,33D0147899,atlanticderm.com,https://atlanticderm.com/
RU,WOODMERE MEDICAL ASSOCIATES,WOODMERE,NY,11598,33D0155533,manninghammedicalcentre.com.au,https://doctor.webmd.com/practice/woodmere-medical-associates-30be68c8-4703-e211-a42b-001f29e3eb44
RU,SULLIVAN INTERNAL MEDICAL GROUP PC,MONTICELLO,NY,12701,33D0164352,middletownmedical.com,https://npiregistry.cms.hhs.gov/provider-view/1841295474
RU,MONMOUTH MEDICAL CENTER VANTAGE POINT,WEST LONG BRANCH,NJ,07764,31D2157832,rwjbh.org,https://www.rwjbh.org/our-locations/outpatient-rehab-center/monmouth-medical-center-outpatient-infusion-cent/
RU,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,PORT JEFFERSON STATION,NY,11776,33D0159503,ny.hospitals-usa.org,https://ny.hospitals-usa.org/item/north-shore-hematology-oncology-associates-pc/directions/
