src,name,city,state,zip,clia,domain,exa_top_url,error
REF,K & S CLINICAL DIAGNOSTICS,ATLANTA,GA,30339,11D2053177,ksdiagnostics.com,https://ksdiagnostics.com/,
REF,"AMERICAN FOOT & LEG SPECIALISTS, LLC",STOCKBRIDGE,GA,30281,11D2114365,americanfoot.com,https://americanfoot.com/stockbridge/,
REF,"MYGENOMICS, LLC",ALPHARETTA,GA,30005,11D2084528,mygenomics.com,https://mygenomics.com/,
REF,CSL PLASMA INC,SMYRNA,GA,30080,11D2079194,cslplasma.com,https://www.cslplasma.com/,
REF,PRIORITY TOXICOLOGY LABORATORIES,UNION CITY,GA,30291,11D2108401,prioritytoxlab.com,https://prioritytoxlab.com/,
REF,"BIOLIFE PLASMA SERVICES, LP",SOCIAL CIRCLE,GA,30025,11D2112585,biolifeplasma.com,https://biolifeplasma.com/,
REF,"EUROFINS DONOR & PRODUCT TESTING, LLC, ATLANTA",MARIETTA,GA,30067,11D2112698,eurofinsus.com,https://www.eurofinsus.com/locations/vrl-eurofins-atlanta/,
REF,BIOLIFE PLASMA SERVICES LP,SNELLVILLE,GA,30039,11D2103312,biolifeplasma.com,https://www.biolifeplasma.com/locations/georgia/snellville,
REF,"DIAGNOSTIC DERMATOPATHOLOGY ASSOCIATES, LLC",COLUMBUS,GA,31904,11D2108423,bdir.in,https://www.healthgrades.com/group-directory/ga-georgia/columbus/diagnostic-dermatopathology-associates-xbg5ck,
REF,"DIAGNOSTIC SOLUTIONS LABORATORY, LLC",ALPHARETTA,GA,30005,11D2097795,diagnosticsolutionslab.com,https://diagnosticsolutionslab.com/,
REF,"CSL PLASMA, JONESBORO",JONESBORO,GA,30236,11D2071924,cslplasma.com,https://www.cslplasma.com/,
REF,"CSL PLASMA, INC - STONE MOUNTAIN",STONE MOUNTAIN,GA,30083,11D2074466,cslplasma.com,https://www.cslplasma.com/center/119,
REF,PATHOLOGY CONSULTANTS OF AUGUSTA,AUGUSTA,GA,30909,11D2087298,pcofaug.com,https://www.pcofaug.com/,
REF,SEPA PC AT AZALEA VALDOSTA GEORGIA,VALDOSTA,GA,31602,11D2060689,sepalabs.com,https://www.sepalabs.com/,
REF,"SEPA, PC",COLUMBUS,GA,31901,11D2092138,columbusga.org,https://www.columbusga.org/,
REF,GI NORTH PATHOLOGY LABORATORY,ALPHARETTA,GA,30022,11D2280962,gi-north.com,https://gi-north.com/,
REF,OCMULGEE MEDICAL PATHOLOGY DBA AMERIPATH INC,TUCKER,GA,30084,11D2230489,ameripath.com,https://ameripath.com/,
REF,KAISER PERMANENTE KOOLAU MEDICAL OFFICE LAB,KANEOHE,HI,96744,12D0619452,healthy.kaiserpermanente.org,https://healthy.kaiserpermanente.org/hawaii/facilities/kaiser-permanente-koolau-medical-office-100438,
REF,BIOLIFE PLASMA SERVICES LP,MCDONOUGH,GA,30253,11D2160347,biolifeplasma.com,https://www.biolifeplasma.com/locations/georgia/mcdonough,
REF,DIAGNOSTIC LABORATORY SERVICES-SMMH,KAPAA,HI,96746,12D0619633,dlslab.com,https://dlslab.com/,
REF,"SEBLE CHEKOLM, MD",ALPHARETTA,GA,30009,11D2289796,care.healthline.com,https://providers.sharecare.com/doctor/dr-seble-chekol,
REF,CLINICAL LABS OF HAWAII-KAMUELA,KAMUELA,HI,96743,12D0646223,clinicallabs.com,https://www.clinicallabs.com/locations/CLH-KMU/Waimea-Center/,
REF,CLINICAL LABS OF HAWAII WAILUKU -MMG,WAILUKU,HI,96793,12D0619547,clinicallabs.com,https://clinicallabs.com/locations/find-a-location/wailuku-at-mmg/,
REF,"BETTER LIFE SCIENCE, LLC",ALPHARETTA,GA,30022,11D2282920,mybls.com,https://mybls.com/,
REF,"CSL PLASMA, INC - DALTON",DALTON,GA,30721,11D2187123,cslplasma.com,https://www.cslplasma.com/center/296,
REF,CLINICAL LABS OF HAWAII-KAU HOSPITAL,PAHALA,HI,96777,12D0646234,clinicallabs.com,https://www.clinicallabs.com/locations/CLH-KAUOP/Kau-Hospital/,
REF,LABORATORY CORPORATION OF AMERICA HOLDINGS,ALBANY,GA,31705,11D2154065,locations.labcorp.com,https://locations.labcorp.com/ga/albany/,
REF,CLINICAL LABS OF HAWAII-KULA HOSPITAL,KULA,HI,96790,12D0619844,clinicallabs.com,https://www.clinicallabs.com/locations/clh-uop/kula-hospital/,
REF,KAISER PERMANENTE LAHAINA MHV#2 LABORATORY,LAHAINA,HI,96761,12D2299285,healthy.kaiserpermanente.org,https://healthy.kaiserpermanente.org/hawaii/facilities/Kaiser-Permanente-Lahaina-Clinic-100437/departments/laboratory-dlp-104170,
REF,KAISER PERMANENTE WAIPIO MEDICAL OFFICE LABORATORY,WAIPAHU,HI,96797,12D1029470,healthy.kaiserpermanente.org,https://healthy.kaiserpermanente.org/hawaii/facilities/kaiser-permanente-waipio-medical-office-100429/departments/laboratory-dlp-104248,
REF,HAWAII DEPT OF HEALTH,PEARL CITY,HI,96782,12D0646259,health.hawaii.gov,https://health.hawaii.gov/,
REF,BIOLIFE PLASMA SERVICES,AUGUSTA,GA,30907,11D2154073,biolifeplasma.com,https://www.biolifeplasma.com/locations/georgia/augusta,
REF,DIAGNOSTIC LABORATORY SERVICES-WCC CTR,WAIANAE,HI,96792,12D2278175,wcchc.com,https://wcchc.com/Contact/Waianae-Laboratory-WCCHC,
REF,KAISER PERMANENTE MAUI LANI MEDICAL OFFICE LAB,WAILUKU,HI,96793,12D1031667,healthy.kaiserpermanente.org,https://healthy.kaiserpermanente.org/hawaii/facilities/Kaiser-Permanente-Maui-Lani-Medical-Office-100436/departments/laboratory-dlp-104189,
