name,address,city,state,zip,phone,clia_number,lab_type,cms_facility_type_name,test_volume,site_count
"KEVIN GIADROSICH, M D, PC",2112 ROCKY RIDGE ROAD,HOOVER,AL,35216,2054386290,01D0301540,REFERENCE,independent,723,0
DECATUR DIAGNOSTIC LABORATORY INC,2828 HIGHWAY 31 SOUTH,DECATUR,AL,35603,2563559045,01D0302324,REFERENCE,independent,258665,0
LABORATORY CORPORATION OF AMERICA HOLDINGS,1034 ROSS CLARK CIRCLE NE  SUITE 2,DOTHAN,AL,36303,5025814277,01D0304728,REFERENCE,independent,9926,0
UAB OB/GYN RESEARCH AND DIAGNOSTIC LABORATORY,"1670 UNIVERSITY BLVD, VOLKER HALL ROOMS G028, G031",BIRMINGHAM,AL,35233,2059342071,01D0641549,REFERENCE,independent,71388,0
CELLULAR IMMUNOBIOLOGY LABORATORY,1825 UNIVERSITY BLVD   ROOM 277,BIRMINGHAM,AL,35294,2059345095,01D0641551,REFERENCE,independent,8000,0
ALABAMA DEPARTMENT OF PUBLIC HEALTH,204 LEGENDS COURT,PRATTVILLE,AL,36066,3342906130,01D0641691,REFERENCE,public_health_lab,1248240,0
LABCORP OF AMERICA HOLDINGS,1010 CHRISTINE AVENUE SUITE 100,ANNISTON,AL,36207,2562386323,01D0641706,REFERENCE,independent,298509,0
MOBILE DIVISION LABORATORY,757 MUSEUM DRIVE,MOBILE,AL,36606,2513446049,01D0641761,REFERENCE,public_health_lab,170618,0
LABORATORY CORPORATION OF AMERICA HOLDINGS,301 GOVERNOR'S DRIVE SUITE 110,HUNTSVILLE,AL,35801,2565514589,01D0665515,REFERENCE,independent,12618,0
UAHSF DIAGNOSTIC VIROLOGY LABORATORY,1600 7TH AVE S  SUITE 771,BIRMINGHAM,AL,35233,2056386690,01D0668136,REFERENCE,independent,27000,0
JCDH CENTRAL HEALTH CENTER DISEASE CONTROL,1400 SIXTH AVENUE SOUTH,BIRMINGHAM,AL,35233,2059339110,01D0668923,REFERENCE,public_health_lab,15492,0
"VALLEY PATHOLOGY, LLC",1221 13TH AVE SE,DECATUR,AL,35601,2563519470,01D0683443,REFERENCE,independent,9224,0
DEPARTMENT OF GENETICS CYTOGENETICS LABORATORY,720 20TH STREET SOUTH  KAUL 314,BIRMINGHAM,AL,35294,2059349555,01D0715750,REFERENCE,independent,5250,0
MICROPHASE CLINICAL LABORATORY,"1428 WEATHERLY ROAD, SUITE  #109",HUNTSVILLE,AL,35803,6624696003,01D0923800,REFERENCE,independent,7722,0
BIRMINGHAM GASTROENTEROLOGY ASSOC PC,1 INDEPENDENCE PLAZA  STE 410,BIRMINGHAM,AL,35209,2052718000,01D0942786,REFERENCE,independent,12200,0
LABORATORY CORPORATION OF AMERICA HOLDINGS,3980 COLONNADE PARKWAY,BIRMINGHAM,AL,35243,2052260501,01D0993817,REFERENCE,independent,1220,0
APEX DIAGNOSTIC LABORATORIES,2702 TRIANA BLVD,HUNTSVILLE,AL,35805,2562613308,01D1009099,REFERENCE,independent,132090,0
SOUTHERN BLOOD SERVICES INC,3800 COLONNADE PARKWAY  SUITE 200,BIRMINGHAM,AL,35243,2059678189,01D1012706,REFERENCE,independent,2750,0
GUT PATHOLOGY LLC,480 HONEYSUCKLE ROAD,DOTHAN,AL,36305,3348361212,01D1094125,REFERENCE,independent,12255,0
CSL PLASMA INC,3536 EASTDALE CIRCLE,MONTGOMERY,AL,36117,3345393256,01D2065408,REFERENCE,other,71945,0
LABORATORY CORPORATION OF AMERICA HOLDINGS,"401 AIRPORT COMMONS DRIVE, SUITE 404",CALERA,AL,35040,2056202308,01D2080446,REFERENCE,independent,654,0
SOUTHEAST CLINICAL LABORATORIES,3621 3RD AVE SOUTH,BIRMINGHAM,AL,35222,2059187156,01D2091573,REFERENCE,independent,2955262,0
MADISON CORE LABORATORIES,2705 ARTIE ST SW  BLDG 400 SUITE 25,HUNTSVILLE,AL,35805,2568500075,01D2116823,REFERENCE,independent,624000,0
LABORATORY CORPORATION OF AMERICA HOLDINGS,171 TOWN CENTER DRIVE  SUITE 6,ANNISTON,AL,36205,2568472431,01D2170323,REFERENCE,independent,24480,0
BIOLIFE PLASMA SERVICES L P,6105 AIRPORT BLVD,MOBILE,AL,36608,2517255211,01D2177196,REFERENCE,other,62500,0
"CSL PLASMA, INC","110 SUTTON BRIDGE ROAD, SUITE 1A",RAINBOW CITY,AL,35906,2566462239,01D2177653,REFERENCE,other,56206,0
IREPERTOIRE MOLECULAR LABORATORY,800 HUDSON WAY,HUNTSVILLE,AL,35806,2563279734,01D2188667,REFERENCE,independent,13000,0
JCDH EASTERN HEALTH CENTER DISEASE CONTROL,601 WEST BLVD,BIRMINGHAM,AL,35206,2059301428,01D2194165,REFERENCE,public_health_lab,7000,0
USA HEALTH FREESTANDING EMERGENCY DEPARTMENT,181 HILLCREST ROAD,MOBILE,AL,36608,2514717831,01D2229845,REFERENCE,other,94900,0
"CERFLUX, INC",215 RICHARD ARRINGTON JR BLVD N #101,BIRMINGHAM,AL,35203,2059662569,01D2247841,REFERENCE,independent,50,0
