name,city,state,zip,clia,domain,error
"KEVIN GIADROSICH, M D, PC",HOOVER,AL,35216,01D0301540,,
UAB OB/GYN RESEARCH AND DIAGNOSTIC LABORATORY,BIRMINGHAM,AL,35233,01D0641549,uab.edu,
ALABAMA DEPARTMENT OF PUBLIC HEALTH,PRATTVILLE,AL,36066,01D0641691,alabamapublichealth.gov,
CELLULAR IMMUNOBIOLOGY LABORATORY,BIRMINGHAM,AL,35294,01D0641551,uhbpathology.com,
LABCORP OF AMERICA HOLDINGS,ANNISTON,AL,36207,01D0641706,labcorp.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,HUNTSVILLE,AL,35801,01D0665515,npiindex.com,
DECATUR DIAGNOSTIC LABORATORY INC,DECATUR,AL,35603,01D0302324,decaturdiagnosticlab.net,
DEPARTMENT OF GENETICS CYTOGENETICS LABORATORY,BIRMINGHAM,AL,35294,01D0715750,uab.edu,
MOBILE DIVISION LABORATORY,MOBILE,AL,36606,01D0641761,alabamapublichealth.gov,
JCDH CENTRAL HEALTH CENTER DISEASE CONTROL,BIRMINGHAM,AL,35233,01D0668923,jcdh.org,
UAHSF DIAGNOSTIC VIROLOGY LABORATORY,BIRMINGHAM,AL,35233,01D0668136,uabacademicannualreport.annualreportchildrensal.org,
"VALLEY PATHOLOGY, LLC",DECATUR,AL,35601,01D0683443,valleypathologyllc.com,
MICROPHASE CLINICAL LABORATORY,HUNTSVILLE,AL,35803,01D0923800,microphaselab.com,
APEX DIAGNOSTIC LABORATORIES,HUNTSVILLE,AL,35805,01D1009099,apexdiagnosticlab.com,
SOUTHERN BLOOD SERVICES INC,BIRMINGHAM,AL,35243,01D1012706,southernbloodservices.com,
BIRMINGHAM GASTROENTEROLOGY ASSOC PC,BIRMINGHAM,AL,35209,01D0942786,bgapc.com,
GUT PATHOLOGY LLC,DOTHAN,AL,36305,01D1094125,opengovus.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,BIRMINGHAM,AL,35243,01D0993817,labcorp.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,CALERA,AL,35040,01D2080446,labcorp.com,
SOUTHEAST CLINICAL LABORATORIES,BIRMINGHAM,AL,35222,01D2091573,southeastlabs.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,DOTHAN,AL,36303,01D0304728,locations.labcorp.com,
"CSL PLASMA, INC",RAINBOW CITY,AL,35906,01D2177653,cslplasma.com,
JCDH EASTERN HEALTH CENTER DISEASE CONTROL,BIRMINGHAM,AL,35206,01D2194165,jcdh.org,
