name,address,city,state,zip,phone,clia_number,lab_type,cms_facility_type_name,test_volume,site_count
REGIONAL CANCER CARE ASSOCIATES,1 BAY AVENUE,MONTCLAIR,NJ,07042,9737593076,31D0104198,POL,physician_office,6650,0
PILGRIM MEDICAL CENTER,393 BLOOMFIELD AVENUE,MONTCLAIR,NJ,07042,9737461500,31D0105229,OTHER,ambulatory_surgery_center,12000,0
REGIONAL CANCER CARE ASSOCIATES,1 CLARA MAASS DRIVE,BELLEVILLE,NJ,07109,9737518880,31D0108387,POL,physician_office,4160,0
REGIONAL CANCER CARE ASSOCIATES,260 OLD HOOK ROAD,WESTWOOD,NJ,07675,2013834840,31D0110609,POL,physician_office,19508,0
REGIONAL CANCER CARE ASSOCIATES,57 KENT ROAD,HOWELL,NJ,07731,7323671535,31D0114368,POL,physician_office,65000,0
"DIOSDADO NON MEDICAL SERVICES, LLC",525 ROUTE 70,BRICK,NJ,08723,7329201772,31D0122897,REFERENCE,independent,10000,0
CLIFFSIDE MEDICAL EMERGIMED LABORATORY,663 PALISADE AVE,CLIFFSIDE PARK,NJ,07010,2019456500,31D0677093,POL,physician_office,37000,0
REGIONAL CANCER CARE ASSOCIATES,326 PROFESSIONAL VIEW DRIVE,FREEHOLD,NJ,07728,7326775236,31D0677457,POL,physician_office,235805,0
REGIONAL CANCER CARE ASSOCIATES,776 EAST 3RD AVENUE,ROSELLE,NJ,07203,9734762112,31D0680189,POL,physician_office,27144,0
DERMATOLOGY ASSOCIATES OF MORRIS PA,199 BALDWIN ROAD,PARSIPPANY,NJ,07054,9733352560,31D0698344,POL,physician_office,400,0
ADVANCED UROLOGY ASSOCIATES ENTERPRISES,2401 HIGHWAY 35,MANASQUAN,NJ,08736,7328003013,31D0714191,POL,physician_office,1500,0
SUMMIT MEDICAL GROUP PA,150 PARK AVE,FLORHAM PARK,NJ,07932,9738425884,31D0721437,POL,physician_office,12110,0
CARE STATION MEDICAL GROUP,328 W ST GEORGES AVE,LINDEN,NJ,07036,9089252273,31D0876565,REFERENCE,independent,1768,0
