name,city,state,zip,clia,domain
REGIONAL CANCER CARE ASSOCIATES,MONTCLAIR,NJ,07042,31D0104198,regionalcancercare.org
SUMMIT MEDICAL GROUP PA,FLORHAM PARK,NJ,07932,31D0721437,summitmedicalgroup.com
PILGRIM MEDICAL CENTER,MONTCLAIR,NJ,07042,31D0105229,pilgrimmed.com
REGIONAL CANCER CARE ASSOCIATES,FREEHOLD,NJ,07728,31D0677457,regionalcancercare.org
REGIONAL CANCER CARE ASSOCIATES,WESTWOOD,NJ,07675,31D0110609,regionalcancercare.org
"DIOSDADO NON MEDICAL SERVICES, LLC",BRICK,NJ,08723,31D0122897,ocmedlab.com
REPRODUCTIVE MEDICINE ASSOCIATES,MORRISTOWN,NJ,07960,31D0919498,rmanetwork.com
REGIONAL CANCER CARE ASSOCIATES,ROSELLE,NJ,07203,31D0680189,regionalcancercare.org
REGIONAL CANCER CARE ASSOCIATES,HOWELL,NJ,07731,31D0114368,regionalcancercare.org
DERMATOLOGY ASSOCIATES OF MORRIS PA,PARSIPPANY,NJ,07054,31D0698344,dermatologyassociatesofmorris.com
CARE STATION MEDICAL GROUP,LINDEN,NJ,07036,31D0876565,carestationmedical.com
REGIONAL CANCER CARE ASSOCIATES,BELLEVILLE,NJ,07109,31D0108387,regionalcancercare.org
ADVANCED UROLOGY ASSOCIATES ENTERPRISES,MANASQUAN,NJ,08736,31D0714191,advuro.com
CLIFFSIDE MEDICAL EMERGIMED LABORATORY,CLIFFSIDE PARK,NJ,07010,31D0677093,emergimed.com
BARNABAS HEALTH MEDICAL GROUP,OCEAN,NJ,07712,31D0925953,barnabashealthmedicalgroup.org
ARTHRITIS AND RHEUMATOLOGY ASSOCIATES,VINELAND,NJ,08360,31D0912834,drsoloway.com
GASTROENTEROLOGY ASSOCIATES,EAST HANOVER,NJ,07936,31D0941780,ganjllc.com
PRINCETON LONGEVITY MEDICAL GROUP,PRINCETON,NJ,08540,31D1041308,theplc.net
ATLANTIC DERMATOLOGY ASSOCIATES LLC,WOODLAND PARK,NJ,07424,31D1006183,atlanticdermatologyassociates.com
"SHAMRA MEDICAL LABORATORY, LLC",MIDDLETOWN,NJ,07748,31D1055495,npino.org
ATLANTICARE REGIONAL MEDICAL CENTER -,HAMMONTON,NJ,08037,31D1100091,atlanticare.org
"ATLANTIC ONCOLOGY ASSOCIATES, LLC",GALLOWAY TOWNSHIP,NJ,08205,31D0972314,atlantichemonc.com
SUMMIT MEDICAL GROUP,CLIFTON,NJ,07013,31D0957525,stage.summitmedicalgroup.com
