name,domain,city,state,clia_number
"KEVIN GIADROSICH, M D, PC",,HOOVER,AL,01D0301540
DECATUR DIAGNOSTIC LABORATORY INC,decaturdiagnosticlab.net,DECATUR,AL,01D0302324
LABORATORY CORPORATION OF AMERICA HOLDINGS,locations.labcorp.com,DOTHAN,AL,01D0304728
UAB OB/GYN RESEARCH AND DIAGNOSTIC LABORATORY,uab.edu,BIRMINGHAM,AL,01D0641549
CELLULAR IMMUNOBIOLOGY LABORATORY,uhbpathology.com,BIRMINGHAM,AL,01D0641551
ALABAMA DEPARTMENT OF PUBLIC HEALTH,alabamapublichealth.gov,PRATTVILLE,AL,01D0641691
LABCORP OF AMERICA HOLDINGS,labcorp.com,ANNISTON,AL,01D0641706
MOBILE DIVISION LABORATORY,alabamapublichealth.gov,MOBILE,AL,01D0641761
LABORATORY CORPORATION OF AMERICA HOLDINGS,npiindex.com,HUNTSVILLE,AL,01D0665515
UAHSF DIAGNOSTIC VIROLOGY LABORATORY,uabacademicannualreport.annualreportchildrensal.org,BIRMINGHAM,AL,01D0668136
JCDH CENTRAL HEALTH CENTER DISEASE CONTROL,jcdh.org,BIRMINGHAM,AL,01D0668923
"VALLEY PATHOLOGY, LLC",valleypathologyllc.com,DECATUR,AL,01D0683443
DEPARTMENT OF GENETICS CYTOGENETICS LABORATORY,uab.edu,BIRMINGHAM,AL,01D0715750
MICROPHASE CLINICAL LABORATORY,microphaselab.com,HUNTSVILLE,AL,01D0923800
BIRMINGHAM GASTROENTEROLOGY ASSOC PC,bgapc.com,BIRMINGHAM,AL,01D0942786
LABORATORY CORPORATION OF AMERICA HOLDINGS,labcorp.com,BIRMINGHAM,AL,01D0993817
APEX DIAGNOSTIC LABORATORIES,apexdiagnosticlab.com,HUNTSVILLE,AL,01D1009099
SOUTHERN BLOOD SERVICES INC,southernbloodservices.com,BIRMINGHAM,AL,01D1012706
GUT PATHOLOGY LLC,opengovus.com,DOTHAN,AL,01D1094125
CSL PLASMA INC,cslplasma.com,MONTGOMERY,AL,01D2065408
