name,domain,city,state,clia_number
"KEVIN GIADROSICH, M D, PC",,HOOVER,AL,01D0301540
DECATUR DIAGNOSTIC LABORATORY INC,decaturdiagnosticlab.net,DECATUR,AL,01D0302324
LABORATORY CORPORATION OF AMERICA HOLDINGS,locations.labcorp.com,DOTHAN,AL,01D0304728
UAB OB/GYN RESEARCH AND DIAGNOSTIC LABORATORY,uab.edu,BIRMINGHAM,AL,01D0641549
CELLULAR IMMUNOBIOLOGY LABORATORY,uhbpathology.com,BIRMINGHAM,AL,01D0641551
ALABAMA DEPARTMENT OF PUBLIC HEALTH,alabamapublichealth.gov,PRATTVILLE,AL,01D0641691
LABCORP OF AMERICA HOLDINGS,labcorp.com,ANNISTON,AL,01D0641706
MOBILE DIVISION LABORATORY,alabamapublichealth.gov,MOBILE,AL,01D0641761
LABORATORY CORPORATION OF AMERICA HOLDINGS,npiindex.com,HUNTSVILLE,AL,01D0665515
UAHSF DIAGNOSTIC VIROLOGY LABORATORY,uabacademicannualreport.annualreportchildrensal.org,BIRMINGHAM,AL,01D0668136
JCDH CENTRAL HEALTH CENTER DISEASE CONTROL,jcdh.org,BIRMINGHAM,AL,01D0668923
"VALLEY PATHOLOGY, LLC",valleypathologyllc.com,DECATUR,AL,01D0683443
DEPARTMENT OF GENETICS CYTOGENETICS LABORATORY,uab.edu,BIRMINGHAM,AL,01D0715750
MICROPHASE CLINICAL LABORATORY,microphaselab.com,HUNTSVILLE,AL,01D0923800
BIRMINGHAM GASTROENTEROLOGY ASSOC PC,bgapc.com,BIRMINGHAM,AL,01D0942786
LABORATORY CORPORATION OF AMERICA HOLDINGS,labcorp.com,BIRMINGHAM,AL,01D0993817
APEX DIAGNOSTIC LABORATORIES,apexdiagnosticlab.com,HUNTSVILLE,AL,01D1009099
SOUTHERN BLOOD SERVICES INC,southernbloodservices.com,BIRMINGHAM,AL,01D1012706
GUT PATHOLOGY LLC,opengovus.com,DOTHAN,AL,01D1094125
CSL PLASMA INC,cslplasma.com,MONTGOMERY,AL,01D2065408
LABORATORY CORPORATION OF AMERICA HOLDINGS,labcorp.com,CALERA,AL,01D2080446
SOUTHEAST CLINICAL LABORATORIES,southeastlabs.com,BIRMINGHAM,AL,01D2091573
MADISON CORE LABORATORIES,madisoncorelabs.com,HUNTSVILLE,AL,01D2116823
LABORATORY CORPORATION OF AMERICA HOLDINGS,labcorp.com,ANNISTON,AL,01D2170323
BIOLIFE PLASMA SERVICES L P,biolifeplasma.com,MOBILE,AL,01D2177196
"CSL PLASMA, INC",cslplasma.com,RAINBOW CITY,AL,01D2177653
IREPERTOIRE MOLECULAR LABORATORY,irepertoire.com,HUNTSVILLE,AL,01D2188667
JCDH EASTERN HEALTH CENTER DISEASE CONTROL,jcdh.org,BIRMINGHAM,AL,01D2194165
USA HEALTH FREESTANDING EMERGENCY DEPARTMENT,usahealthsystem.com,MOBILE,AL,01D2229845
"CERFLUX, INC",cerflux.com,BIRMINGHAM,AL,01D2247841
JCDH WESTERN HEALTH CENTER DISEASE CONTROL,jcdh.org,MIDFIELD,AL,01D2265958
ECLIPSE PATHOLOGY LLC,labprospects.com,MADISON,AL,01D2286108
SOUTHEAST CLINICAL LABORATORIES - WALKER MEDICAL,walker-md.com,JASPER,AL,01D2327017
"MEDESSIA HEALTH, LLC",medessiahealth.com,OPELIKA,AL,01D2340785
LABORATORY CORPORATION OF AMERICA,labcorp.com,ANCHORAGE,AK,02D0640755
QUEST DIAGNOSTICS,questdiagnostics.com,ANCHORAGE,AK,02D0640756
QUEST DIAGNOSTICS,locations.questdiagnostics.com,FAIRBANKS,AK,02D0641234
KUPARUK MEDICAL CLINIC,labprospects.com,PRUDHOE BAY,AK,02D0671921
ALPINE MEDICAL CLINIC,alpinemedicalgroup.com,PRUDHOE BAY,AK,02D0969249
LIFEMED ALASKA LLC,lifemedalaska.com,ANCHORAGE,AK,02D1090167
"GUARDIAN FLIGHT, LLC",guardianflight.com,ANCHORAGE,AK,02D2028442
CELLNETIX PATHOLOGY ALASKA REGIONAL HOSPITAL,cellnetix.com,ANCHORAGE,AK,02D2201100
LABORATORY CORPORATION OF AMERICA,labcorp.com,ANCHORAGE,AK,02D2223872
"AIRCARE ALASKA, LLC",aircarealaska.com,FAIRBANKS,AK,02D2314627
ALASKA NATIVE MEDICAL CENTER POCT 2,anmc.org,ANCHORAGE,AK,02D2322468
MARICOPA COUNTY PUBLIC HEALTH LAB,maricopa.gov,PHOENIX,AZ,03D0057138
CAMPUS HEALTH SERVICES,health.arizona.edu,TUCSON,AZ,03D0057856
ACCUTRACE LABORATORIES INC,loc8nearme.com,PHOENIX,AZ,03D0641886
PIMA COUNTY HEALTH DEPARTMENT,pima.gov,TUCSON,AZ,03D0683066
"CSL PLASMA, INC",cslplasma.com,TEMPE,AZ,03D0694716
EAST VALLEY INTERNAL MEDICINE PC,evimaz.com,CHANDLER,AZ,03D0872266
SAGIS,sagisdx.com,TUCSON,AZ,03D0962326
ARIZONA ANDROLOGY LAB & CRYOBANK,arizonaandrology.com,TUCSON,AZ,03D0991404
QUALITY OF LIFE INTEGRATED HEALTH CENTER,qmedcenter.com,TUCSON,AZ,03D1012182
"VIRTUAL SCIENTIFIC, INC",virtualscientific.net,QUEEN CREEK,AZ,03D1079575
NORTHERN ARIZONA MEDICAL GROUP,namg.us,KINGMAN,AZ,03D1097848
"CYREX LABORATORIES, LLC",cyrexlabs.com,PHOENIX,AZ,03D2006336
SOUTHWEST SKIN LABORATORY PLLC,swskin.net,GILBERT,AZ,03D2046062
AFFILIATED LABORATORIES,affderm.com,SCOTTSDALE,AZ,03D2051762
RICHARD LEE AVERITTE JR PLLC DBA,affderm.com,SURPRISE,AZ,03D2053259
PATHLAB INC,ehealthscores.com,SIERRA VISTA,AZ,03D2067119
"DESERT LABORATORIES, LLC",desertlaboratories.com,CHANDLER,AZ,03D2084339
"EXPERT GENETICS, LLC",everydayhealth.care,PHOENIX,AZ,03D2102432
"ARIZONA GASTROENTEROLOGY, LTD",azgastroenterology.com,TUCSON,AZ,03D2114624
COPPER QUEEN COMMUNITY HOSPITAL,cqch.org,DOUGLAS,AZ,03D2124326
SPECIALIZED UNIVERSITY PATHOLOGISTS,pathology.arizona.edu,GILBERT,AZ,03D2137703
VINCERE MOLECULAR & PATHOLOGY LAB,vincerecancer.com,SCOTTSDALE,AZ,03D2183334
AMERIPATH TUCSON INC,ameripath.com,TUCSON,AZ,03D2276836
"AGA PATHOLOGY LAB, TUCSON",azgastrohealth.com,TUCSON,AZ,03D2277352
AMERIPATH TUCSON INC,ameripath.com,MESA,AZ,03D2279731
SUNSCIENCE LABS INC,sunsciencelab.com,TEMPE,AZ,03D2282539
TUCSON GASTRO SPECIALISTS PATHOLOGY,tucsongastro.com,TUCSON,AZ,03D2285621
CND LIFE SCIENCES R&D LAB,cndlifesciences.com,SCOTTSDALE,AZ,03D2291165
ARIZONA DIAGNOSTIC PATHOLOGY ASSOCIATES,adpalab.com,TUCSON,AZ,03D2294971
PATHOLOGY SERVICES LABORATORY PA,pathologyserviceslab.com,RUSSELLVILLE,AR,04D0468992
AR ANATOMIC PATHOLOGY LABORATORY/DOCTORS',dapsonline.com,JONESBORO,AR,04D0892601
"MICRO-DIAGNOSTIC LABORATORIES, INC",citysquares.com,BENTON,AR,04D0913430
LABCORP OF AMERICA,locations.labcorp.com,LITTLE ROCK,AR,04D0928951
ARKANSAS ANATOMIC PATHOLOGY LABORATORY AND,dapsonline.com,JONESBORO,AR,04D1018945
NORTHWEST ARKANSAS PATHOLOGY AT MERCY MED CTR,mercy.net,ROGERS,AR,04D1051971
NWA PATHOLOGY AT WRMC FS ROOM,nwapathology.com,FAYETTEVILLE,AR,04D1051973
UNITY HEALTH WHITE COUNTY ONCOLOGY,unity-health.org,SEARCY,AR,04D2025650
PHYSICIANS LABORATORIES OF AMERICA LLC,plallc.com,LITTLE ROCK,AR,04D2042678
BAXTER HEALTH PAIN CLINIC,baxterhealth.org,MOUNTAIN HOME,AR,04D2086422
AEL - CONWAY,ael.com,CONWAY,AR,04D2115207
CHI ST VINCENT MEDICAL CENTER,chistvincent.com,HOT SPRINGS,AR,04D2121560
MERCY SPRINGDALE HOD,mercy.net,SPRINGDALE,AR,04D2170189
"NAMIDA LAB, INC",namidalab.com,FAYETTEVILLE,AR,04D2182040
ARKANSAS ANATOMIC PATHOLOGY LABORATORY,allpractices.com,BATESVILLE,AR,04D2209627
QUEST DIAGNOSTICS - ROGERS RRL,locations.questdiagnostics.com,ROGERS,AR,04D2225444
QUEST DIAGNOSTICS - FORT SMITH RRL,locations.questdiagnostics.com,FORT SMITH,AR,04D2226039
"UROLOGY GROUP PC, THE",carecredit.com,MARION,AR,04D2270323
UAMS HEALTH UROLOGY CLINIC,uamshealth.com,LITTLE ROCK,AR,04D2277599
HERMES LABORATORIES,hermes-laboratories.com,LITTLE ROCK,AR,04D2296094
PRIVILEGE DX MEDICAL LABORATORIES INC,whereorg.com,TOLUCA LAKE,CA,05D0543719
PROTZEL PATHOLOGY LABORATORY,ibegin.com,BEVERLY HILLS,CA,05D0547058
CONEJO DERMATOLOGY,conejodermatology.com,THOUSAND OAKS,CA,05D0559414
SUN CLINICAL LABORATORIES,sunclinicallaboratories.com,EL MONTE,CA,05D0563772
WEST DERMATOLOGY - MISSION VALLEY,westdermatology.com,SAN DIEGO,CA,05D0569421
LABORATORY CORPORATION OF AMERICA,locations.labcorp.com,TUSTIN,CA,05D0578685
"ADVANCED BIOMEDICAL, INC",dayofdifference.org.au,SANTA ANA,CA,05D0580198
NAPA-SOLANO-YOLO-MARIN,solanocounty.gov,FAIRFIELD,CA,05D0601176
"EQUALTOX, LLC",equaltox.com,SANTA ANA,CA,05D0602385
