src_name,src_domain,src_clia,persona,apollo_id,contact_name,contact_first_name,contact_email,contact_title,contact_linkedin_url,contact_phone
LABORATORY CORPORATION OF AMERICA HOLDINGS,locations.labcorp.com,01D0304728,ceo_owner,66f86cdca817d6000182e10c,Imran Ali,Imran,(require direct fetch),"Senior Vice President, Global Head Early Development Research Operations and Country Head India",,(require direct fetch)
LABORATORY CORPORATION OF AMERICA HOLDINGS,locations.labcorp.com,01D0304728,medical_director,66f76d0d27096c0001321334,Shakti Ra***n,Shakti,(require direct fetch),"CLIA Laboratory Medical Director, Labcorp Oncology (OmniSeq), Buffalo, NY",,(require direct fetch)
UAB OB/GYN RESEARCH AND DIAGNOSTIC LABORATORY,uab.edu,01D0641549,ceo_owner,54a1f87d74686935beb8d001,Robert Ho***d,Robert,(require direct fetch),Vice President for Information Technology & Chief Information Officer,,(require direct fetch)
ALABAMA DEPARTMENT OF PUBLIC HEALTH,alabamapublichealth.gov,01D0641691,lab_director,54a2d5ff7468693cdd407140,Greg Do***d,Greg,(require direct fetch),Director of Operations,,(require direct fetch)
LABCORP OF AMERICA HOLDINGS,labcorp.com,01D0641706,ceo_owner,66f86cdca817d6000182e10c,Imran Ali,Imran,(require direct fetch),"Senior Vice President, Global Head Early Development Research Operations and Country Head India",,(require direct fetch)
LABCORP OF AMERICA HOLDINGS,labcorp.com,01D0641706,medical_director,66f76d0d27096c0001321334,Shakti Ra***n,Shakti,(require direct fetch),"CLIA Laboratory Medical Director, Labcorp Oncology (OmniSeq), Buffalo, NY",,(require direct fetch)
MOBILE DIVISION LABORATORY,alabamapublichealth.gov,01D0641761,lab_director,54a2d5ff7468693cdd407140,Greg Do***d,Greg,(require direct fetch),Director of Operations,,(require direct fetch)
DEPARTMENT OF GENETICS CYTOGENETICS LABORATORY,uab.edu,01D0715750,ceo_owner,54a1f87d74686935beb8d001,Robert Ho***d,Robert,(require direct fetch),Vice President for Information Technology & Chief Information Officer,,(require direct fetch)
BIRMINGHAM GASTROENTEROLOGY ASSOC PC,bgapc.com,01D0942786,ceo_owner,611114c3acce0e0001c640fd,Paul Th***t,Paul,(require direct fetch),Executive Administrator-CEO,,(require direct fetch)
LABORATORY CORPORATION OF AMERICA HOLDINGS,labcorp.com,01D0993817,ceo_owner,66f86cdca817d6000182e10c,Imran Ali,Imran,(require direct fetch),"Senior Vice President, Global Head Early Development Research Operations and Country Head India",,(require direct fetch)
