domain,name,city,state,clia_number,lab_type,test_volume
decaturdiagnosticlab.net,DECATUR DIAGNOSTIC LABORATORY INC,DECATUR,AL,01D0302324,REFERENCE,258665
uhbpathology.com,CELLULAR IMMUNOBIOLOGY LABORATORY,BIRMINGHAM,AL,01D0641551,REFERENCE,8000
alabamapublichealth.gov,MOBILE DIVISION LABORATORY,MOBILE,AL,01D0641761,REFERENCE,170618
npiindex.com,LABORATORIO CLINICO BIENESTAR,ARECIBO,PR,40D2329974,REFERENCE,5600
uabacademicannualreport.annualreportchildrensal.org,UAHSF DIAGNOSTIC VIROLOGY LABORATORY,BIRMINGHAM,AL,01D0668136,REFERENCE,27000
jcdh.org,JCDH WESTERN HEALTH CENTER DISEASE CONTROL,MIDFIELD,AL,01D2265958,REFERENCE,1000
valleypathologyllc.com,"VALLEY PATHOLOGY, LLC",DECATUR,AL,01D0683443,REFERENCE,9224
microphaselab.com,MICROPHASE CLINICAL LABORATORY,HUNTSVILLE,AL,01D0923800,REFERENCE,7722
apexdiagnosticlab.com,APEX DIAGNOSTIC LABORATORIES,HUNTSVILLE,AL,01D1009099,REFERENCE,132090
southernbloodservices.com,SOUTHERN BLOOD SERVICES INC,BIRMINGHAM,AL,01D1012706,REFERENCE,2750
opengovus.com,LABORATORY CORPORATION OF AMERICA HOLDINGS,RALEIGH,NC,34D2312278,REFERENCE,560
irepertoire.com,IREPERTOIRE MOLECULAR LABORATORY,HUNTSVILLE,AL,01D2188667,REFERENCE,13000
labprospects.com,PATRIOT LABORATORY LLC,CLEARWATER,FL,10D2314642,REFERENCE,4792
walker-md.com,SOUTHEAST CLINICAL LABORATORIES - WALKER MEDICAL,JASPER,AL,01D2327017,REFERENCE,230000
medessiahealth.com,"MEDESSIA HEALTH, LLC",OPELIKA,AL,01D2340785,REFERENCE,0
alpinemedicalgroup.com,ALPINE MEDICAL CLINIC,PRUDHOE BAY,AK,02D0969249,REFERENCE,1400
aircarealaska.com,"AIRCARE ALASKA, LLC",FAIRBANKS,AK,02D2314627,REFERENCE,200
anmc.org,ALASKA NATIVE MEDICAL CENTER POCT 2,ANCHORAGE,AK,02D2322468,REFERENCE,0
maricopa.gov,MARICOPA COUNTY PUBLIC HEALTH LAB,PHOENIX,AZ,03D0057138,REFERENCE,87200
health.arizona.edu,CAMPUS HEALTH SERVICES,TUCSON,AZ,03D0057856,REFERENCE,27773
loc8nearme.com,ACCUTRACE LABORATORIES INC,PHOENIX,AZ,03D0641886,REFERENCE,280435
evimaz.com,EAST VALLEY INTERNAL MEDICINE PC,CHANDLER,AZ,03D0872266,REFERENCE,96480
arizonaandrology.com,ARIZONA ANDROLOGY LAB & CRYOBANK,TUCSON,AZ,03D0991404,REFERENCE,800
qmedcenter.com,QUALITY OF LIFE INTEGRATED HEALTH CENTER,TUCSON,AZ,03D1012182,REFERENCE,210000
namg.us,NORTHERN ARIZONA MEDICAL GROUP,KINGMAN,AZ,03D1097848,REFERENCE,85500
cyrexlabs.com,"CYREX LABORATORIES, LLC",PHOENIX,AZ,03D2006336,REFERENCE,10000
swskin.net,SOUTHWEST SKIN LABORATORY PLLC,GILBERT,AZ,03D2046062,REFERENCE,1300
ehealthscores.com,ETHEL DIAGNOSTIC LABORATORY,EDISON,NJ,31D2140887,REFERENCE,5000
desertlaboratories.com,"DESERT LABORATORIES, LLC",CHANDLER,AZ,03D2084339,REFERENCE,200000
everydayhealth.care,"ADIS DIAGNOSTICS, LLC",LANCASTER,KY,18D2176709,REFERENCE,5700
azgastroenterology.com,"ARIZONA GASTROENTEROLOGY, LTD",TUCSON,AZ,03D2114624,REFERENCE,12000
cqch.org,COPPER QUEEN COMMUNITY HOSPITAL,DOUGLAS,AZ,03D2124326,REFERENCE,140600
pathology.arizona.edu,SPECIALIZED UNIVERSITY PATHOLOGISTS,GILBERT,AZ,03D2137703,REFERENCE,2500
vincerecancer.com,VINCERE MOLECULAR & PATHOLOGY LAB,SCOTTSDALE,AZ,03D2183334,REFERENCE,2700
ameripath.com,AMERIPATH LUBBOCK 501(A),FORT WORTH,TX,45D2104445,REFERENCE,80
sunsciencelab.com,SUNSCIENCE LABS INC,TEMPE,AZ,03D2282539,REFERENCE,4710
tucsongastro.com,TUCSON GASTRO SPECIALISTS PATHOLOGY,TUCSON,AZ,03D2285621,REFERENCE,4000
adpalab.com,ARIZONA DIAGNOSTIC PATHOLOGY ASSOCIATES,TUCSON,AZ,03D2294971,REFERENCE,27500
pathologyserviceslab.com,PATHOLOGY SERVICES LABORATORY PA,RUSSELLVILLE,AR,04D0468992,REFERENCE,34747
dapsonline.com,ARKANSAS ANATOMIC PATHOLOGY LABORATORY AND,JONESBORO,AR,04D1018945,REFERENCE,22463
citysquares.com,"MICRO-DIAGNOSTIC LABORATORIES, INC",BENTON,AR,04D0913430,REFERENCE,62442
nwapathology.com,NWA PATHOLOGY AT WRMC FS ROOM,FAYETTEVILLE,AR,04D1051973,REFERENCE,650
plallc.com,PHYSICIANS LABORATORIES OF AMERICA LLC,LITTLE ROCK,AR,04D2042678,REFERENCE,7000
chistvincent.com,CHI ST VINCENT MEDICAL CENTER,HOT SPRINGS,AR,04D2121560,REFERENCE,10848
namidalab.com,"NAMIDA LAB, INC",FAYETTEVILLE,AR,04D2182040,REFERENCE,5000
allpractices.com,ARKANSAS ANATOMIC PATHOLOGY LABORATORY,BATESVILLE,AR,04D2209627,REFERENCE,4083
uamshealth.com,UAMS HEALTH UROLOGY CLINIC,LITTLE ROCK,AR,04D2277599,REFERENCE,1350
hermes-laboratories.com,HERMES LABORATORIES,LITTLE ROCK,AR,04D2296094,REFERENCE,196800
whereorg.com,PREMIER LABORATORIES,WOOD-RIDGE,NJ,31D2197504,REFERENCE,27000
ibegin.com,PROTZEL PATHOLOGY LABORATORY,BEVERLY HILLS,CA,05D0547058,REFERENCE,2029
conejodermatology.com,CONEJO DERMATOLOGY,THOUSAND OAKS,CA,05D0559414,REFERENCE,6564
sunclinicallaboratories.com,SUN CLINICAL LABORATORIES,EL MONTE,CA,05D0563772,REFERENCE,8795852
westdermatology.com,WEST DERMATOLOGY - MISSION VALLEY,SAN DIEGO,CA,05D0569421,REFERENCE,210
dayofdifference.org.au,"ADVANCED BIOMEDICAL, INC",SANTA ANA,CA,05D0580198,REFERENCE,6030
solanocounty.gov,NAPA-SOLANO-YOLO-MARIN,FAIRFIELD,CA,05D0601176,REFERENCE,8529
equaltox.com,"EQUALTOX, LLC",SANTA ANA,CA,05D0602385,REFERENCE,83930
thespermbankofca.org,"REPRODUCTIVE TECHNOLOGIES, INC/ THE SPERM",BERKELEY,CA,05D0602416,REFERENCE,400
yosemitepathology.com,YOSEMITE PATHOLOGY MEDICAL GROUP INC,VISALIA,CA,05D2265005,REFERENCE,15433
modocmedicalcenter.org,MODOC MEDICAL CENTER,ALTURAS,CA,05D0618592,REFERENCE,174899
psychemedics.com,PSYCHEMEDICS CORPORATION,CULVER CITY,CA,05D0642561,REFERENCE,50
ochealthinfo.com,ORANGE COUNTY PUBLIC HEALTH,IRVINE,CA,05D0643378,REFERENCE,149689
kernpublichealth.com,KERN COUNTY PUBLIC HEALTH LABORATORY,BAKERSFIELD,CA,05D0643486,REFERENCE,23381
countyofmonterey.gov,MONTEREY COUNTY PUBLIC HEALTH LABORATORY,SALINAS,CA,05D0643589,REFERENCE,7291
pamf.org,DR JACK S REMINGTON LAB,PALO ALTO,CA,05D0643684,REFERENCE,8891
sjcphs.org,SAN JOAQUIN COUNTY PUBLIC HEALTH LAB,STOCKTON,CA,05D0643989,REFERENCE,24078
health.ucdavis.edu,UCD COCCIDIOIDOMYCOSIS SEROLOGY LAB,DAVIS,CA,05D0644125,REFERENCE,85000
bernardoderm.com,BERNARDO DERMATOLOGY MEDICAL GROUP,POWAY,CA,05D0664519,REFERENCE,3277
tchhsa.org,TULARE COUNTY HEALTH DEPT LABORATORY,TULARE,CA,05D0667647,REFERENCE,4697
internationalmedicallab.com,INTERNATIONAL MEDICAL LABORATORY,IRVINE,CA,05D0692370,REFERENCE,283400
apmglab.com,ASSOCIATED PATHOLOGY MEDICAL GROUP INC,LOS GATOS,CA,05D0712326,REFERENCE,152260
npiviewer.com,LABORATORIO CLINICO TINTILLO,GUAYNABO,PR,40D0693037,REFERENCE,4110
calpath.com,CALPATH MEDICAL ASSOCIATES,SAN JOSE,CA,05D2033368,REFERENCE,13000
novadxlabs.com,"GENENTOX LABORATORIES, LLC",SANTA ANA,CA,05D0871568,REFERENCE,77698
labmedinc.com,"LABORATORY MEDICINE CONSULTANTS, INC",BEVERLY HILLS,CA,05D0876618,REFERENCE,714591
spermbankcalifornia.com,FERTILITY CENTER OF CALIFORNIA,SAN DIEGO,CA,05D0883366,REFERENCE,1000
tustinfertilityctr.com,FERTILITY CENTER OF CALIFORNIA,TUSTIN,CA,05D0883369,REFERENCE,500
bio-path.com,BIO-PATH MEDICAL GROUP INC,FOUNTAIN VALLEY,CA,05D0974660,REFERENCE,18739
vitadox.com,LABORATORIO CLINICO SHADDAI,QUEBRADILLAS,PR,40D2059616,REFERENCE,44160
psjhmedgroups.org,HUNTINGTON REPRODUCTIVE CENTER,NEWPORT BEACH,CA,05D0921495,REFERENCE,8600
biopsycenter.org,OUTPATIENT BIOPSY CENTER,TEMPLE CITY,CA,05D0943625,REFERENCE,551
skincareandlaser.com,SKIN CARE AND LASER PHYSICIANS OF BEVERLY HILL,WEST HOLLYWOOD,CA,05D0968426,REFERENCE,184
alphaclinicallab.com,"ALPHA CLINICAL LABORATORY, INC",BURBANK,CA,05D0999149,REFERENCE,65160
pathologyarts.com,PATHOLOGY ARTS INC,CORONA,CA,05D1000595,REFERENCE,6000
digestivecarecenter.com,DIGESTIVE CARE LABORATORY,SAN CARLOS,CA,05D1000932,REFERENCE,2825
lagunawoodsderm.com,MICHELLE M ALGARIN MD INC,LAGUNA HILLS,CA,05D1005582,REFERENCE,1381
nextmedonline.com,"JULIE G DUQUETTE, MD, A MEDICAL CORPORATION",NEWPORT BEACH,CA,05D1010850,REFERENCE,7000
pathcarefna.com,"PATHCARE DIAGNOSTICS, INC",CORONA,CA,05D1037342,REFERENCE,1613
scke.org,SOUTH COUNTY KIDNEY & ENDOCRINE CENTER,LAGUNA HILLS,CA,05D1040918,REFERENCE,687000
drnadelman.com,PRECISION ASPIRATION AND BIOPSY,LOS ANGELES,CA,05D1064899,REFERENCE,880
phamatech.com,"PHAMATECH, INC",SAN DIEGO,CA,05D1078844,REFERENCE,30350
comprehensivederm.com,COMPREHENSIVE DERMATOLOGY GROUP,ENCINITAS,CA,05D1079755,REFERENCE,850
dnatestingcenters.com,PATHOLOGY ON THE GO INC,POMPANO BEACH,FL,10D1100498,REFERENCE,141139
centerforrheumatology.com,CENTER FOR RHEUMATOLOGY,LOS ANGELES,CA,05D1086289,REFERENCE,111380
irvinepath.com,IRVINE PATHOLOGY MEDICAL GROUP INC,FOOTHILL RANCH,CA,05D2102456,REFERENCE,120
newpathlabs.com,NEWPORT HARBOR PATHOLOGY,NEWPORT BEACH,CA,05D2050266,REFERENCE,26030
pathkare.com,PATHKARE INC,SANTA ANA,CA,05D2006188,REFERENCE,7300
labgenomic.com,"LAB GENOMICS, LLC",FOUNTAIN VALLEY,CA,05D2026572,REFERENCE,27415
infogloballab.com,"GLOBAL DIAGNOSTIC LAB, INC",PASADENA,CA,05D2038784,REFERENCE,22800
startupwebsolutions.com.au,"DERMPATH NEW ENGLAND, LLC",WELLESLEY HILLS,MA,22D1049111,REFERENCE,71658
vitaediagnostics.com,VITAE DIAGNOSTICS,TORRANCE,CA,05D2044828,REFERENCE,420000
orthocsi.com,CSI MEDICAL GROUP,LA CANADA FLINTRIDGE,CA,05D2069464,REFERENCE,2000
dermatopathologyinstitute.com,SAN FRANCISCO DERMATOPATHOLOGY,DALY CITY,CA,05D2069498,REFERENCE,650
health.alamedacountyca.gov,ALAMEDA COUNTY PUBLIC HEALTH,OAKLAND,CA,05D2090025,REFERENCE,13516
individx.com,INDIVIDX,RANCHO CUCAMONGA,CA,05D2096856,REFERENCE,2700
