Lab ID,Tier,Score,Cohort,Sources,Primary reason,All signals,Facility name,DBA / Alt name,Website (verified),Domain registered,Domain age (days),Address,Address line 2,City,State,ZIP,Phone,Fax,CLIA #,CLIA facility type,CLIA cert type,Accreditations,CLIA original part. date,Days since CLIA launch,Annual test volume,CLIA CHOW count,NPI,NPPES org name,NPI taxonomy,NPI enumeration date,Days since NPI,Medicare type,Medicare ENRLMT ID,Contact first,Contact last,Contact title,Contact phone
C39D2340686,S+,140,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-1_ORGNL_LE_3MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, S-1_STANDALONE, W-1_DOMAIN_LT_6MO",MEDISURE LABS INC,,https://www.medisurelab.com/,2026-01-09,123,"4815 JONESTOWN RD, STE 201",,HARRISBURG,PA,17109,(203) 722-5981,,39D2340686,Independent / Reference Lab,Registration,,2026-03-20,53,0,0,1790643617,MEDISURE LABS INC.,291U00000X,2026-01-10,122,,,CHANDANA,KANCHARAKUNTLA SAMSON,PRESIDENT,2037225981
C45D2340655,S+,135,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-1_ORGNL_LE_3MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, A-1_REAL_MEDICAL, S-1_STANDALONE",CLASSIC CLINICAL LABORATORY LLC,,,,,3012 E HEBRON PARKWAY SUITE 112,,CARROLLTON,TX,75010,(979) 329-0430,,45D2340655,Independent / Reference Lab,Registration,,2026-03-20,53,0,0,1346196177,CLASSIC CLINICAL LABORATORY LLC,291U00000X,2026-03-05,68,,,HABEEBULLAH,KHAN MOHAMMED,OWNER,9793290430
C24D2340499,S+,135,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-1_ORGNL_LE_3MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, A-1_REAL_MEDICAL, S-1_STANDALONE",CASCADE DIAGNOSTICS,,,,,"500 MARSCHALL RD, SUITE 300",,SHAKOPEE,MN,55379,(952) 448-6557,9524486047,24D2340499,Independent / Reference Lab,Registration,,2026-03-18,55,0,0,1477499648,CASCADE DIAGNOSTICS,291U00000X,2026-04-28,14,,,ELISA,JOHNSON,REVENUE CYCLE/CREDENTIALING,9528563932
C10D2339283,S+,135,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-1_ORGNL_LE_3MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, A-1_REAL_MEDICAL, S-1_STANDALONE",UNIVERSITY LABORATORY SOLUTIONS LLC,,,,,490 CENTRE LAKE DR SUITE 201B,,PALM BAY,FL,32909,(321) 536-0254,,10D2339283,Independent / Reference Lab,Registration,,2026-02-27,74,0,0,1255289534,UNIVERSITY LABORATORY SOLUTIONS LLC,291U00000X,2026-03-20,53,,,RAJENDRA,MELARAM,LABORATORY MANAGER,3215360254
C10D2331547,S+,130,B_6_to_12mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-3_ORGNL_LE_12MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, S-1_STANDALONE, W-1_DOMAIN_LT_6MO",BIO QUEST LABORATORIES LLC,,https://www.bioquestlab.com/,2025-12-11,152,2020 KINGSLEY AVENUE SUITE 3,,ORANGE PARK,FL,32073,(904) 480-2604,(904) 480-2605,10D2331547,Independent / Reference Lab,Registration,,2025-10-03,221,72000,0,1891666483,BIO QUEST LABORATORIES LLC,291U00000X,2025-09-16,238,,,JEREY,BRAVO ESPONDA,OWNER,9044768670
C45D2337372,S+,130,A_fresh_le_6mo,CNM,ORGNL_PRTCPTN_DT ≤ 6 months,"C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, A-1_REAL_MEDICAL, S-1_STANDALONE, W-1_DOMAIN_LT_6MO",QUASAR LABORATORY LLC,,https://www.quasardx.com/,2026-01-10,122,8200 WEDNESBURY LANE SUITE 490,,HOUSTON,TX,77074,(346) 397-0238,(337) 216-6624,45D2337372,Independent / Reference Lab,Registration,,2026-01-22,110,0,0,1295692796,QUASAR LABORATORY LLC,291U00000X,2026-01-06,126,PART B SUPPLIER - INDEPENDENT CLINICAL LABORATORY,O20260310001705,GABRIEL,TERCERO,CEO,3463970238
C45D2340056,S+,125,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-1_ORGNL_LE_3MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, S-1_STANDALONE",SAMOS LABORATORY LLC,,,,,715 DISCOVERY BLVD STE 111,,CEDAR PARK,TX,78613,(512) 872-6222,(512) 872-6222,45D2340056,Independent / Reference Lab,Registration,,2026-03-11,62,5000,0,1598611592,SAMOS LABORATORY LLC,291U00000X,2026-03-10,63,,,ALI,ASHMAIG,MANAGING MEMBER,5105857632
C05D2335250,S+,120,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-ACCREDITATION, N-1_NPI_LAB_TAX_MATCH","CORDELL LABS, LLC DBA SPECIALTY LABORATORIES",,,,,1935 CORDELL CT STE 200,,EL CAJON,CA,92020,(619) 745-4484,(279) 444-3963,05D2335250,Independent / Reference Lab,Accreditation,AOA,2025-12-08,155,0,0,1033073622,"CORDELL LABS, LLC",291U00000X,2025-12-10,153,,,DAVID,BARKA,CEO,6197083999
C13D2332894,S+,120,B_6_to_12mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-3_ORGNL_LE_12MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, S-1_STANDALONE, W-2_DOMAIN_LT_12MO",BLOOD ON THE RUN INC,,https://www.bloodontherunlabs.com/,2025-06-19,327,1516 W CAYUSE CREEK DR #100,,MERIDIAN,ID,83646,(208) 760-4400,,13D2332894,Independent / Reference Lab,Registration,,2025-10-27,197,120000,0,1730052655,BLOOD ON THE RUN INC.,291U00000X,2025-09-26,228,,,TOSHA,STRICKLAND,OWNER,2087604400
C45D2335072,S+,120,A_fresh_le_6mo,CNM,ORGNL_PRTCPTN_DT ≤ 6 months,"C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, S-1_STANDALONE, W-1_DOMAIN_LT_6MO",GILAN CLINICAL LABORATORY,,https://gilanclinicallaboratoryllc.com/,2026-04-13,29,"11999 KATY FWY, SUITE 225",,HOUSTON,TX,77079,(832) 553-8869,(832) 772-6321,45D2335072,Independent / Reference Lab,Registration,,2025-12-05,158,0,0,1962367383,GILAN CLINICAL LABORATORY LLC,291U00000X,2025-12-18,145,PART B SUPPLIER - INDEPENDENT CLINICAL LABORATORY,O20260128000277,MEHRAN,HAIDARI,OWNER,8325538869
